DEPARTMENT;CODE;DESCRIPTION;RATE
"CARDIOLOGY";"4002";"HBs AG KIT";"150"
"CARDIOLOGY";"4003";"CORONARY ANGIOGRAM (GW)";"500"
"CARDIOLOGY";"4004";"CORONARY ANGIOGRAM (SEMI GW)";"600"
"CARDIOLOGY";"4005";"CORONARY ANGIOGRAM (SPR)";"800"
"CARDIOLOGY";"4006";"CORONARY ANGIOGRAM (PR)";"1000"
"CARDIOLOGY";"4007";"CORONARY ANGIOGRAM (AC SINGLE ROOM)";"1200"
"CARDIOLOGY";"4008";"CARDIAC CATHETERIZATION (GW)";"500"
"CARDIOLOGY";"4009";"CARDIAC CATHETERIZATION (SEMI GW)";"600"
"CARDIOLOGY";"4010";"CARDIAC CATHETERIZATION (SPR)";"800"
"CARDIOLOGY";"4011";"CARDIAC CATHETERIZATION (PR)";"1000"
"CARDIOLOGY";"4012";"CARDIAC CATHETERIZATION (AC SINGLE ROOM)";"1200"
"CARDIOLOGY";"4013";"PTCA (GW)";"2500"
"CARDIOLOGY";"4014";"PTCA (SEMI GW)";"3000"
"CARDIOLOGY";"4015";"PTCA (SPR)";"3500"
"CARDIOLOGY";"4016";"PTCA (PR)";"4500"
"CARDIOLOGY";"4017";"PTCA (AC SINGLE ROOM)";"5000"
"CARDIOLOGY";"4018";"PBMV (GW)";"1500"
"CARDIOLOGY";"4019";"PBMV (SEMI GW)";"2000"
"CARDIOLOGY";"4020";"PBMV (SPR)";"3000"
"CARDIOLOGY";"4021";"PBMV (PR)";"4000"
"CARDIOLOGY";"4022";"PBMV (AC SIGLE ROOM)";"4500"
"CARDIOLOGY";"4023";"DIRECT STENTING (GW)";"2000"
"CARDIOLOGY";"4024";"DIRECT STENTING (SEMI GW)";"2500"
"CARDIOLOGY";"4025";"DIRECT STENTING (SPR)";"3000"
"CARDIOLOGY";"4026";"DIRECT STENTING (PR)";"4000"
"CARDIOLOGY";"4027";"DIRECT STENTING (AC SINGLE ROOM)";"4500"
"CARDIOLOGY";"4028";"IABP (GW)";"3000"
"CARDIOLOGY";"4029";"IABP (SEMI GW)";"3000"
"CARDIOLOGY";"4030";"IABP (SPR)";"3500"
"CARDIOLOGY";"4031";"IABP (PR)";"4000"
"CARDIOLOGY";"4032";"IABP (AC SINGLE ROOM)";"4000"
"CARDIOLOGY";"4033";"EXTRA BALLOON (GW)";"1500"
"CARDIOLOGY";"4034";"EXTRA BALLOON (SEMI GW)";"1500"
"CARDIOLOGY";"4035";"EXTRA BALLOON (SPR)";"2000"
"CARDIOLOGY";"4036";"EXTRA BALLOON (PR)";"2000"
"CARDIOLOGY";"4037";"EXTRA BALLOON (AC SINGLE ROOM)";"2000"
"CARDIOLOGY";"5001";"CORONARY ANGIOGRAM (GW)";"700"
"CARDIOLOGY";"5002";"CORONARY ANGIOGRAM (SPR)";"1000"
"CARDIOLOGY";"5003";"CORONARY ANGIOGRAM (PR)";"1100"
"CARDIOLOGY";"5004";"RHC+LHC CATH (GW)";"700"
"CARDIOLOGY";"5005";"RHC+LHC CATH (SPR)";"1000"
"CARDIOLOGY";"5006";"RHC+LHC CATH (PR)";"1100"
"CARDIOLOGY";"5008";"PERCUTANEOUSBALLOONMITRALVALVULOPLASTY(PBMV)";"2800"
"CARDIOLOGY";"5009";"PERCUTANEOUSBALLOONMITRALVALVULOPLASTY(PBMV)";"4300"
"CARDIOLOGY";"5010";"PERCUTANEOUSBALLOONMITRALVALVULOPLASTY (PBMV)";"4800"
"CARDIOLOGY";"5011";"IABP (GW)";"3800"
"CARDIOLOGY";"5012";"IABP (SPR)";"4300"
"CARDIOLOGY";"5013";"IABP (PR)";"4800"
"CARDIOLOGY";"5014";"EMERGENCY IABP (GW)";"4150"
"CARDIOLOGY";"5015";"EMERGENCY IABP (SPR)";"4700"
"CARDIOLOGY";"5016";"EMERGENCY IABP (PR)";"5250"
"CARDIOLOGY";"5017";"PTCA -IVD (GW)";"3300"
"CARDIOLOGY";"5018";"PTCA -IVD (SPR)";"4800"
"CARDIOLOGY";"5019";"PTCA -IVD (PR)";"5800"
"CARDIOLOGY";"5020";"CORONARY ANGIOGRAM (GW)";"550"
"CARDIOLOGY";"5021";"CORONARY ANGIOGRAM (SEMI GW)";"660"
"CARDIOLOGY";"5022";"CORONARY ANGIOGRAM (SPR)";"880"
"CARDIOLOGY";"5023";"CORONARY ANGIOGRAM (PR)";"1100"
"CARDIOLOGY";"5024";"CORONARY ANGIOGRAM (AC SINGLE ROOM)";"1320"
"CARDIOLOGY";"5025";"CARDIAC CATHETERIZATION (GW)";"550"
"CARDIOLOGY";"5026";"CARDIAC CATHETERIZATION (SEMI GW)";"660"
"CARDIOLOGY";"5027";"CARDIAC CATHETERIZATION (SPR)";"880"
"CARDIOLOGY";"5028";"CARDIAC CATHETERIZATION (PR)";"1100"
"CARDIOLOGY";"5029";"CARDIAC CATHETERIZATION (AC SINGLE ROOM)";"1320"
"CARDIOLOGY";"5030";"PTCA (GW)";"2750"
"CARDIOLOGY";"5031";"PTCA (SEMI GW)";"3300"
"CARDIOLOGY";"5032";"PTCA (SPR)";"3850"
"CARDIOLOGY";"5033";"PTCA (PR)";"4950"
"CARDIOLOGY";"5034";"PTCA (AC SINGLE ROOM)";"5500"
"CARDIOLOGY";"5035";"PBMV (GW)";"1650"
"CARDIOLOGY";"5036";"PBMV (SEMI GW)";"2200"
"CARDIOLOGY";"5037";"PBMV (SPR)";"3300"
"CARDIOLOGY";"5038";"PBMV (PR)";"4400"
"CARDIOLOGY";"5039";"PBMV (AC SIGLE ROOM)";"4950"
"CARDIOLOGY";"5040";"DIRECT STENTING (GW)";"2200"
"CARDIOLOGY";"5041";"DIRECT STENTING (SEMI GW)";"2750"
"CARDIOLOGY";"5042";"DIRECT STENTING (SPR)";"3300"
"CARDIOLOGY";"5043";"DIRECT STENTING (PR)";"4400"
"CARDIOLOGY";"5044";"DIRECT STENTING (AC SINGLE ROOM)";"4950"
"CARDIOLOGY";"5045";"IABP (GW)";"3300"
"CARDIOLOGY";"5046";"IABP (SEMI GW)";"3300"
"CARDIOLOGY";"5047";"IABP (SPR)";"3850"
"CARDIOLOGY";"5048";"IABP (PR)";"4400"
"CARDIOLOGY";"5049";"IABP (AC SINGLE ROOM)";"4400"
"CARDIOLOGY";"5050";"EXTRA BALLOON (GW)";"1650"
"CARDIOLOGY";"5051";"EXTRA BALLOON (SEMI GW)";"1650"
"CARDIOLOGY";"5052";"EXTRA BALLOON (SPR)";"2200"
"CARDIOLOGY";"5053";"EXTRA BALLOON (PR)";"2200"
"CARDIOLOGY";"5054";"EXTRA BALLOON (AC SINGLE ROOM)";"2200"
"CARDIOLOGY";"801A";"FASTING GLUCOSE";"4"
"CARDIOLOGY";"801B";"RANDOM GLUCOSE";"4"
"CARDIOLOGY";"801C";"POST PARANDIAL GLUCOSE";"4"
"CARDIOLOGY";"801D";"GLUCOSE TOLERANCE TEST";"20"
"CARDIOLOGY";"801E";"EXTENDED GTT";"25"
"CARDIOLOGY";"803A";"SERUM UREA";"5"
"CARDIOLOGY";"804A";"SERUM CREATININE";"5"
"CARDIOLOGY";"806A";"TOTAL CHOLESTEROL";"6"
"CARDIOLOGY";"807A";"TRIGLYCERIDES";"7"
"CARDIOLOGY";"808A";"LIPID PROFILE";"22"
"CARDIOLOGY";"809A";"LIPOPROTEINS PATTERN";"80"
"CARDIOLOGY";"810A";"APO-LIPOPROTEIN A";"80"
"CARDIOLOGY";"811A";"APO-LIPOPROTEIN B";"80"
"CARDIOLOGY";"812A";"LP (A)";"100"
"CARDIOLOGY";"816A";"ASPARATATE AMINO TRANFERASE";"6"
"CARDIOLOGY";"817A";"ALAMINE AMINO TRANFERASE";"6"
"CARDIOLOGY";"820A";"LACTATE DEHYDROGENASE";"10"
"CARDIOLOGY";"820B";"LACTATE DEHYDROGENASE ISOENZYME 1";"10"
"CARDIOLOGY";"820C";"LACTATE DEHYDROGENASE ISOENZYME 2";"10"
"CARDIOLOGY";"821A";"CREATINE PHOSPHOKINASE";"10"
"CARDIOLOGY";"822A";"CPK-MB";"20"
"CARDIOLOGY";"835A";"HEMOGLOBIN";"2"
"CARDIOLOGY";"CL54";"EMERGENCY CHARGES-1 (ANGIO)";"50"
"CARDIOLOGY";"CL55";"EMERGENCY CHARGES-2 (PLASTY)";"200"
"C.P.M.R";"701A";"SERUM DIGOXIN (R)";"60"
"C.P.M.R";"701B";"SERUM DIGOXIN (E)";"120"
"C.P.M.R";"702A";"PEAK FLOW RATE";"5"
"C.P.M.R";"703A";"SERUM PHENYTOIN (R)";"45"
"C.P.M.R";"703B";"SERUM PHENYTOIN (E)";"90"
"C.P.M.R";"704A";"SERUM CARBAMAZEPINE (R)";"45"
"C.P.M.R";"704B";"SERUM CARBAMAZEPINE (E)";"90"
"C.P.M.R";"705A";"SERUM PHENOBARBITONE (R)";"45"
"C.P.M.R";"705B";"SERUM PHENOBARBITONE (E)";"90"
"C.P.M.R";"706A";"SERUM VALPROIC ACID (R)";"60"
"C.P.M.R";"706B";"SERUM VALPROIC ACID (E)";"120"
"C.P.M.R";"707A";"CYCLOSPORINE (R)";"112"
"C.P.M.R";"707B";"CYCLOSPORINE (E)";"225"
"C.P.M.R";"707C";"CYCLOSPORINE TDX";"110"
"C.P.M.R";"708A";"ESTIMATION OF RBC/SERUM CHOLINESTERASE";"30"
"C.P.M.R";"709A";"SERUM CORTISOL(R)";"60"
"C.P.M.R";"709B";"SERUM CORTISOL(E)";"95"
"C.P.M.R";"710A";"SERUM BENZODIAPINE(R)";"50"
"C.P.M.R";"710B";"SERUM BENZODIAPINE(E)";"80"
"C.P.M.R";"711A";"SERUM TRI CYCLIC ANTI DEPRESENTS(R)";"60"
"C.P.M.R";"711B";"SERUM TRI CYCLIC ANTI DEPRESENTS(E)";"95"
"C.P.M.R";"712";"PACKAGE FOR POISONING SCREENING";"200"
"C.P.M.R";"713A";"LYMPHOCYTE CROSS MATCH STUDY";"100"
"C.P.M.R";"714";"HLA B27";"60"
"C.P.M.R";"714A";"HLA - B27";"100"
"C.P.M.R";"715A";"HLA TYPING & CROSS MATCH - PATIENT & DONOR";"1000"
"C.P.M.R";"716A";"HLA TYPING ABC & DR";"450"
"C.P.M.R";"717A";"HLA TYPING ABC";"250"
"C.P.M.R";"718A";"HLA TYPING DR";"250"
"C.P.M.R";"718B";"ADP INDUCED PLATELET AGGREGATION";"100"
"C.P.M.R";"719A";"COLLAGEN INDUCED PLATELET AGGREGATION";"100"
"CARDIO THORACIC";"C30A";"ASD (GENERAL WARD)";"5000"
"CARDIO THORACIC";"C30B";"ASD (THREE SHARED ROOM)";"5250"
"CARDIO THORACIC";"C30C";"ASD (TWO SHARED ROOM)";"5500"
"CARDIO THORACIC";"C30D";"ASD (SINGLE ROOM (MB))";"6000"
"CARDIO THORACIC";"C30E";"ASD (A/C SINGLE ROOM (MB))";"7000"
"CARDIO THORACIC";"C31A";"VSD (GENERAL WARD)";"5500"
"CARDIO THORACIC";"C31B";"VSD (THREE SHARED ROOM)";"5750"
"CARDIO THORACIC";"C31C";"VSD (TWO SHARED ROOM)";"6000"
"CARDIO THORACIC";"C31D";"VSD (SINGLE ROOM (MB))";"7000"
"CARDIO THORACIC";"C31E";"VSD (A/C SINGLE ROOM (MB))";"8000"
"CARDIO THORACIC";"C32A";"SIMPLE ICR (GENERAL WARD)";"6500"
"CARDIO THORACIC";"C32B";"SIMPLE ICR (THREE SHARED ROOM)";"7000"
"CARDIO THORACIC";"C32C";"SIMPLE ICR (TWO SHARED ROOM)";"7500"
"CARDIO THORACIC";"C32D";"SIMPLE ICR (SINGLE ROOM (MB))";"8500"
"CARDIO THORACIC";"C32E";"SIMPLE ICR ( A/C SINGLE ROOM (MB))";"9500"
"CARDIO THORACIC";"C33A";"COMPLEX ICR (GENERAL WARD)";"7500"
"CARDIO THORACIC";"C33B";"COMPLEX ICR (THREE SHARED ROOM)";"8000"
"CARDIO THORACIC";"C33C";"COMPLEX ICR (TWO SHARED ROOM)";"9000"
"CARDIO THORACIC";"C33D";"COMPLEX ICR (SINGLE ROOM (MB))";"10000"
"CARDIO THORACIC";"C33E";"COMPLEX ICR ( A/C SINGLE ROOM (MB))";"11000"
"CARDIO THORACIC";"C34A";"CABG (GENERAL WARD)";"6500"
"CARDIO THORACIC";"C34B";"CABG (THREE SHARED ROOM)";"7000"
"CARDIO THORACIC";"C34C";"CABG (TWO SHARED ROOM)";"8000"
"CARDIO THORACIC";"C34D";"CABG (SINGLE ROOM (MB))";"9000"
"CARDIO THORACIC";"C34E";"CABG ( A/C SINGLE ROOM (MB))";"10000"
"CARDIO THORACIC";"C35A";"VALVE REPLACEMENT (GENERAL WARD) *VALVE EXTR";"6300"
"CARDIO THORACIC";"C35B";"VALVE REPLACEMENT (THREE SHARED ROOM) *VALVE";"6500"
"CARDIO THORACIC";"C35C";"VALVE REPLACEMENT (TWO SHARED ROOM) *VALVE E";"7500"
"CARDIO THORACIC";"C35D";"VALVE REPLACEMENT (SINGLE ROOM(MB)) *VALVE E";"8500"
"CARDIO THORACIC";"C35E";"VALVE REPLACEMENT (A/C SINGLE ROOM(MB)) *VALV";"9500"
"CARDIO THORACIC";"C36A";"SINGLE VALVVE REPLACEMENT(MVR OR AVR)+MEDTRON";"10500"
"CARDIO THORACIC";"C36B";"SINGLE VALVVE REPLACEMENT(MVR OR AVR)+MEDTRON";"11000"
"CARDIO THORACIC";"C36C";"SINGLE VALVVE REPLACEMENT(MVR OR AVR)+MEDTRON";"11500"
"CARDIO THORACIC";"C36D";"SINGLE VALVVE REPLACEMENT(MVR OR AVR)+MEDTRON";"10800"
"CARDIO THORACIC";"C36E";"SINGLE VALVVE REPLACEMENT(MVR OR AVR)+MEDTRON";"11300"
"CARDIO THORACIC";"C36F";"SINGLE VALVVE REPLACEMENT(MVR OR AVR)+MEDTRON";"11800"
"CARDIO THORACIC";"C37A";"TWO VALVE REPLACEMENT (GENERAL WARD) *VALVES";"6800"
"CARDIO THORACIC";"C37B";"TWO VALVE REPLACEMENT (TSR) *VALVES EXTRA";"7000"
"CARDIO THORACIC";"C37C";"TWO VALVE REPLACEMENT (TWOSHARED ROOM) *VALV";"8500"
"CARDIO THORACIC";"C37D";"TWO VALVE REPLACEMENT (SINGLE ROOM(MB))*VALVE";"9500"
"CARDIO THORACIC";"C37E";"TWO VALVE REPLACEMENT (A/C SINGLE(MB)*VALVES";"10500"
"CARDIO THORACIC";"C38A";"DOUBLE VALVE REPLACEMENT +MEDITRONIC KIT";"15500"
"CARDIO THORACIC";"C38B";"DOUBLE VALVE REPLACEMENT +MEDITRONIC KIT";"16000"
"CARDIO THORACIC";"C38C";"DOUBLE VALVE REPLACEMENT +MEDITRONIC KIT";"16600"
"CARDIO THORACIC";"C38D";"DOUBLE VALVE REPLACEMENT +MEDITRONIC KIT";"15800"
"CARDIO THORACIC";"C38E";"DOUBLE VALVE REPLACEMENT +MEDITRONIC KIT";"16300"
"CARDIO THORACIC";"C38F";"DOUBLE VALVE REPLACEMENT +MEDITRONIC KIT";"16900"
"CARDIO THORACIC";"C39A";"ANEURYSM REPAIR(GENERAL WARD)*GRAFT COST EXTR";"7500"
"CARDIO THORACIC";"C39B";"ANEURYSM REPAIR(THREE SHARED ROOM)*GRAFT COS";"8000"
"CARDIO THORACIC";"C39C";"ANEURYSM REPAIR(TWO SHARED ROOM)*GRAFT COST";"9000"
"CARDIO THORACIC";"C39D";"ANEURYSM REPAIR(SINGLE ROOM(MB))*GRAFT COST";"10000"
"CARDIO THORACIC";"C39E";"ANEURYSM REPAIR(A/C SINGLEROOM(MB))*GRAFT CO";"11000"
"CARDIO THORACIC";"C40A";"CABG + SINGLE VALVE SURGERY(*COST OF VALVE EX";"8000"
"CARDIO THORACIC";"C40B";"CABG + SINGLE VALVE SURGERY(*COST OF VALVE E";"8500"
"CARDIO THORACIC";"C40C";"CABG + SINGLE VALVE SURGERY(*COST OF VALVE E";"9000"
"CARDIO THORACIC";"C40D";"CABG + SINGLE VALVE SURGERY(*COST OF VALVE E";"8300"
"CARDIO THORACIC";"C40E";"CABG + SINGLE VALVE SURGERY(*COST OF VALVE E";"8800"
"CARDIO THORACIC";"C40F";"CABG + SINGLE VALVE SURGERY(*COST OF VALVE E";"9300"
"CARDIO THORACIC";"C41A";"CLOSED HEART AND LUNG SURGERY (GENERAL WARD)";"1500"
"CARDIO THORACIC";"C41B";"CLOSED HEART AND LUNG SURGERY (THREE SHARED";"2000"
"CARDIO THORACIC";"C41C";"CLOSED HEART AND LUNG SURGERY (TWO SHARED ROO";"2500"
"CARDIO THORACIC";"C41D";"CLOSED HEART AND LUNG SURGERY (SINGLE ROOM(MB";"3500"
"CARDIO THORACIC";"C41E";"CLOSED HEART AND LUNG SURGERY (A/C SINGLE ROO";"5000"
"CARDIO THORACIC";"C42";"BRONCHOSCOPY";"150"
"CARDIO THORACIC";"C43";"ICD";"100"
"CARDIO THORACIC";"C44";"SPRC (EXTRA LUMP SUM AMOUNT)";"33"
"CARDIO THORACIC";"C45";"SPRA (EXTRA LUMP SUM AMOUNT)";"66"
"CARDIO THORACIC";"C46";"PRC (EXTRA LUMP SUM AMOUNT)";"75"
"CARDIO THORACIC";"C47";"PRAC (EXTRA LUMP SUM AMOUNT)";"200"
"CARDIO THORACIC";"C48";"GBDR (EXTRA LUMP SUM AMOUNT)";"487"
"CARDIO THORACIC";"C49";"GBAC (EXTRA LUMP SUM AMOUNT)";"350"
"CARDIO THORACIC";"C50";"GBNAC (EXTRA LUMP SUM AMOUNT)";"112"
"CARDIO THORACIC";"C52";"HIGH RISK CHARGES";"1000"
"CARDIO THORACIC";"C53";"EMERGENCY OPERATION CHARGES";"1000"
"CARDIO THORACIC";"C54";"STERNAL WIRE REMOVEL/ WOUND DEBRIDEMENT";"100"
"CARDIO THORACIC";"C55";"ABG + ELECTROLYTES";"22"
"DENTAL CLINIC";"D01";"DENTAL CONSULTATION";"10"
"DENTAL CLINIC";"D02";"DENTAL EXTRACTION";"20"
"DENTAL CLINIC";"D03";"SURGICAL DENTAL EXTRACTION OF MOLAR";"100"
"DENTAL CLINIC";"D04";"SCALING & ORAL PROPHYLAXIS";"200"
"DENTAL CLINIC";"D05";"EXPANSION APPLIANCE";"5"
"DENTAL CLINIC";"D06";"IMPRESSIONS FOR UPPER & LOWER DENTITION";"10"
"DENTAL CLINIC";"D07";"FILLING, TEMPORARY CEMENT FILLING";"30"
"DENTAL CLINIC";"D08";"FILLING, PERMANENT SILVER FILLING";"30"
"DENTAL CLINIC";"D09";"WAFER FOR ORTHODENTIC SURGERY";"50"
"DENTAL CLINIC";"D10";"NECK COLLAR";"50"
"DERMATOLOGY";"2001";"SKIN BIOPSY";"25"
"DERMATOLOGY";"2002";"ELECTRO CAUTERY FACE (per lesion *)";"20"
"DERMATOLOGY";"2003";"ELECTRO CAUTGERY-OTHERS (per lesion)";"15"
"DERMATOLOGY";"2004";"CRYO CAUTERY -FACE (per lesion)";"25"
"DERMATOLOGY";"2005";"CRYO CAUTERY -OTHERS (per lesion)";"20"
"DERMATOLOGY";"2006";"COMEDO EXPRESSION (per lesion)";"5"
"DERMATOLOGY";"2007";"TZANCK TEST";"5"
"DERMATOLOGY";"2008";"INTRALESIONAL THERAPY (per lesion)";"5"
"DERMATOLOGY";"2009";"EXTRIPATION OF MOLLUSCON CONTAGIOSUM (per le";"5"
"DERMATOLOGY";"2010";"CURETTAGE (per lesion)";"10"
"DERMATOLOGY";"2011";"ELECTRO FULGURATION (per lesion)";"10"
"DERMATOLOGY";"2012";"CHEMICAL CAUTERY (per lesion)";"10"
"DERMATOLOGY";"2013";"CHEMICAL PEELING (GENERAL)";"50"
"DERMATOLOGY";"2014";"CHEMICAL PEELING (SPOT)";"30"
"DERMATOLOGY";"2015";"WOODs LAMP EXAMINATION";"20"
"DERMATOLOGY";"2016";"SKIN BIOPSY (SINGLE)";"50"
"DERMATOLOGY";"2017";"ELECTRO CAUTERY (PER LESION)";"5"
"DERMATOLOGY";"2018";"CRYO CAUTERY (PER LESION)";"10"
"DERMATOLOGY";"RFDIET";"DIETICIAN CONSULTATION";"3"
"E.N.T.";"EN1";"NUTRITION MANAGEMENT";"10"
"E.N.T.";"ENT1SU";"EAR CLEANING / SYRINGING";"20"
"E.N.T.";"ENT2SU";"TRACHEOSTOMY";"250"
"E.N.T.";"ENT3SU";"NASAL PACKING";"50"
"EMERGENCY";"E101SU";"MINOR DRESSING";"5"
"EMERGENCY";"E102SU";"MINOR DRESSING";"7"
"EMERGENCY";"E103SU";"MAJOR DRESSING";"10"
"EMERGENCY";"E104SU";"MAJOR DRESSING";"15"
"EMERGENCY";"E105SU";"MINOR SURGERY 1";"25"
"EMERGENCY";"E106SU";"MINOR SURGERY 2";"35"
"EMERGENCY";"E107SU";"MINOR SURGERY 3";"50"
"EMERGENCY";"E108SU";"MAJOR SURGERY 1";"75"
"EMERGENCY";"E109SU";"MAJOR SURGERY 2";"100"
"EMERGENCY";"E110SU";"MAJOR SURGERY 3";"120"
"EMERGENCY";"E111SU";"MAJOR SURGERY 4";"150"
"EMERGENCY";"E112SU";"MAJOR SURGERY 5";"200"
"EMERGENCY";"E113";"VENTILATORY SUPPORT";"100"
"EMERGENCY";"E19A";"SERUM CALCIUM";"7"
"EMERGENCY";"E21";"STOMACH WASH";"50"
"EMERGENCY";"E21A";"SERUM MAGNESIUM";"15"
"EMERGENCY";"EM10";"NURSING CHARGES(RT FEEDS,BEDPAN,PD MAINTENANC";"5"
"EMERGENCY";"EM11";"ICD";"64"
"EMERGENCY";"EM12";"POLY TRAUMA (CONSULTATIONS MULTI SPECIALISTS";"50"
"EMERGENCY";"EM13";"AIR WAY PROTECTION(INTUBATION)";"25"
"EMERGENCY";"EM14";"SUTURING";"12"
"EMERGENCY";"EM15";"SUTURE REMOVAL";"8"
"EMERGENCY";"EM16";"MAJOR SUTURING";"32"
"EMERGENCY";"EM17";"DRESSING MINOR";"8"
"EMERGENCY";"EM18";"DRESSING MAJOR";"16"
"EMERGENCY";"EM2";"DRESSING";"5"
"EMERGENCY";"EM3";"NEBULIZATION";"8"
"EMERGENCY";"EM4";"CATHERATION";"5"
"EMERGENCY";"EM5";"O2 (2 lit/6 hrs) or (6-10 lit/hr)";"5"
"EMERGENCY";"EM6";"MONITOR (PER DAY)";"8"
"EMERGENCY";"EM7";"RYLES TUBE";"5"
"EMERGENCY";"EM8";"VENTILATOR CHARGES (SIMPLE)";"50"
"EMERGENCY";"EM9";"CALLS CONSULTATION";"12"
"EMERGENCY";"EMDC";"EMD CONSULTATION CHARGES";"10"
"GASTROENTEROLOGY";"651A";"UPPER GASTRO INTESTINAL ENDOSCOPY";"60"
"GASTROENTEROLOGY";"651B";"EMERGECNY UGI ENDOSCOPY (AFTER 5 PM)";"75"
"GASTROENTEROLOGY";"651C";"EMERGENCY UGI ENDOSCOPY (AFTER 5 PM)";"100"
"GASTROENTEROLOGY";"652A";"SIGMOIDOSCOPY (REGID)";"30"
"GASTROENTEROLOGY";"653A";"FIBREOPTIC SIGMOIDOSCOPY";"60"
"GASTROENTEROLOGY";"654A";"COLONOSCOPY (TOTAL)";"110"
"GASTROENTEROLOGY";"654B";"EMERGECNY COLONSCOPY (AFTER 5 PM)";"160"
"GASTROENTEROLOGY";"655A";"E R C P";"140"
"GASTROENTEROLOGY";"656A";"PNEUMATIC DILATATION (ACHALASIA-CARDIA)";"180"
"GASTROENTEROLOGY";"657A";"ENDOSCOPIC SCLEROTHERAPY (Ist SITTING)";"90"
"GASTROENTEROLOGY";"657B";"ENDOSCOPIC SCLEROTHERAPY (SUBSEQUENT SITTING";"70"
"GASTROENTEROLOGY";"657C";"ENDOSCOPIC SCLEROTHERAPY (PACKAGE OF 6 SITTIN";"300"
"GASTROENTEROLOGY";"657D";"EMERGECNY SCLEROTHERAPY (AFTER 5 PM)";"150"
"GASTROENTEROLOGY";"658A";"ENDOSCOPY POLYPECTOMY";"120"
"GASTROENTEROLOGY";"659A";"LIVER BIOPSY";"100"
"GASTROENTEROLOGY";"660A";"OP MINOR PROCEDURES (PROCTOSCOPY,ASCITES,TAP,";"20"
"GASTROENTEROLOGY";"661A";"ENDOSCOPIC SHPINCTEROTOMY (PLAIN)";"250"
"GASTROENTEROLOGY";"661B";"ENDOSCOPIC SHPINCTEROTOMY WITH ADDITIONAL PR";"400"
"GASTROENTEROLOGY";"661C";"ENDOSCOPIC CYSTOGASTROSTOMY";"400"
"GASTROENTEROLOGY";"662A";"SAVARY GILLIARD DILATATION (PER SITTING)";"80"
"GASTROENTEROLOGY";"662B";"SAVARY GILLIARD DILATATION (PACKAGE OF 5 SITT";"350"
"GASTROENTEROLOGY";"663A";"SENGSTAKEN TUBE (PER SITTING)";"300"
"GASTROENTEROLOGY";"664A";"ENDOSCOPIC FOREIGN BODY REMOVAL";"150"
"GASTROENTEROLOGY";"665A";"HEMORRHOIDAL SCLEROTHERAPY";"40"
"GASTROENTEROLOGY";"666A";"ENDOSCOPIC VARICEAL LIGATION";"100"
"GASTROENTEROLOGY";"667A";"ESOPHAGEAL PROSTHESIA *";"300"
"GASTROENTEROLOGY";"668A";"PERCUT. ENDOSCOPIC GASTROSTOMY (PEG) *";"150"
"GASTROENTEROLOGY";"669A";"PYLORIC/COLONIC BALLOON DILATATION *";"300"
"GASTROENTEROLOGY";"670A";"BUTYL CYANOACRYLATE (GLUE) INJECTION *";"200"
"GASTROENTEROLOGY";"671A";"SUDAN III";"10"
"GASTROENTEROLOGY";"672A";"STOOL OCCULT BLOOD";"7"
"GASTROENTEROLOGY";"673A";"SMEAR FOFECAL LEUCOCYTES";"10"
"GASTROENTEROLOGY";"674A";"D-XYLOSE TEST";"25"
"GASTROENTEROLOGY";"675A";"LACTOSE TOLERANCE TEST";"30"
"GASTROENTEROLOGY";"676A";"A D A";"20"
"GASTROENTEROLOGY";"677A";"SERUM COPPER";"25"
"GASTROENTEROLOGY";"677B";"SERUM COPPER + URINE COPPER";"40"
"GASTROENTEROLOGY";"678A";"SERUM CERULOPLASMIN";"30"
"GASTROENTEROLOGY";"679A";"SERUM IRON";"25"
"GASTROENTEROLOGY";"680A";"SERUM TIBC";"25"
"GASTROENTEROLOGY";"681A";"ANTI HBs Ab";"22"
"GASTROENTEROLOGY";"681B";"ANTI HBS";"22"
"GASTROENTEROLOGY";"682A";"FECAL FAT";"50"
"GASTROENTEROLOGY";"683A";"BLOOD AMMONIA";"40"
"GASTROENTEROLOGY";"684A";"F. CHYMOTRYPSIN";"35"
"GASTROENTEROLOGY";"685A";"GASTRIC JUICE ANALYSIS";"50"
"GASTROENTEROLOGY";"686A";"SERUM LIPASE";"40"
"GASTROENTEROLOGY";"687A";"HBe Ab & ANTI HBe Ab";"60"
"GASTROENTEROLOGY";"687B";"HBE/ANTI HBE";"30"
"GASTROENTEROLOGY";"688A";"ANTI HBc IgM";"40"
"GASTROENTEROLOGY";"689A";"ANTI HCV";"40"
"GASTROENTEROLOGY";"690A";"ANTI HEV";"40"
"GASTROENTEROLOGY";"691A";"LIVER ABSCESS DRAINAGE";"140"
"GASTROENTEROLOGY";"692A";"PER OPERATIVE ENDOSCOPY";"200"
"GASTROENTEROLOGY";"693A";"ENDOSCOPIC BIOPSY";"15"
"GASTROENTEROLOGY";"694A";"RAPID UREASE TEST";"15"
"GASTROENTEROLOGY";"695A";"LIVER PACKAGE";"50"
"GENERAL MEDICINE";"731A";"PLEURAL FLUID ASPIRATION";"30"
"GENERAL MEDICINE";"732A";"PLEURAL BIOPSY";"45"
"GENERAL MEDICINE";"733A";"LUNG BIOPSY";"30"
"GENERAL MEDICINE";"734A";"FIBRE-OPTIC BRONCHOSCOPY (MAJOR)";"105"
